country,indicator,group,Unit,Date,Value
Nigeria,LABOUR FORCE POPULATION (employment age and decided to work),Male,Persons,2014Q1,37238914.67
Nigeria,LABOUR FORCE POPULATION (employment age and decided to work),Male,Persons,2014Q2,37445000.93
Nigeria,LABOUR FORCE POPULATION (employment age and decided to work),Male,Persons,2014Q3,37709156.46
Nigeria,LABOUR FORCE POPULATION (employment age and decided to work),Male,Persons,2014Q4,37909681.02
Nigeria,LABOUR FORCE POPULATION (employment age and decided to work),Male,Persons,2015Q1,38171916.94
Nigeria,LABOUR FORCE POPULATION (employment age and decided to work),Male,Persons,2015Q2,38470539.55
Nigeria,LABOUR FORCE POPULATION (employment age and decided to work),Male,Persons,2015Q3,39408104
Nigeria,LABOUR FORCE POPULATION (employment age and decided to work),Male,Persons,2015Q4,40002550.1
Nigeria,LABOUR FORCE POPULATION (employment age and decided to work),Male,Persons,2016Q1,40297137.27
Nigeria,LABOUR FORCE POPULATION (employment age and decided to work),Male,Persons,2016Q2,40845503.79
Nigeria,LABOUR FORCE POPULATION (employment age and decided to work),Male,Persons,2016Q3,41299545.26
Nigeria,LABOUR FORCE POPULATION (employment age and decided to work),Male,Persons,2016Q4,41394294.77
Nigeria,LABOUR FORCE POPULATION (employment age and decided to work),Male,Persons,2017Q1,42405038.8
Nigeria,LABOUR FORCE POPULATION (employment age and decided to work),Male,Persons,2017Q2,42421909.64
Nigeria,LABOUR FORCE POPULATION (employment age and decided to work),Male,Persons,2017Q3,43002072.71
Nigeria,LABOUR FORCE POPULATION (employment age and decided to work),Male,Persons,2017Q4,43672385.89
Nigeria,LABOUR FORCE POPULATION (employment age and decided to work),Male,Persons,2018Q1,47208195.47
Nigeria,LABOUR FORCE POPULATION (employment age and decided to work),Male,Persons,2018Q2,49340091.67
Nigeria,LABOUR FORCE POPULATION (employment age and decided to work),Male,Persons,2018Q3,49776409.14
Nigeria,LABOUR FORCE POPULATION (employment age and decided to work),Male,Persons,2010,36895833.61
Nigeria,LABOUR FORCE POPULATION (employment age and decided to work),Male,Persons,2011,38076500.28
Nigeria,LABOUR FORCE POPULATION (employment age and decided to work),Male,Persons,2012,34235951.99
Nigeria,LABOUR FORCE POPULATION (employment age and decided to work),Male,Persons,2013,36960630.12
Nigeria,Total Unemployed,Male,Persons,2014Q1,2447463.268
Nigeria,Total Unemployed,Male,Persons,2014Q2,2335489.134
Nigeria,Total Unemployed,Male,Persons,2014Q3,3065450.816
Nigeria,Total Unemployed,Male,Persons,2014Q4,2035196.34
Nigeria,Total Unemployed,Male,Persons,2015Q1,2411318.178
Nigeria,Total Unemployed,Male,Persons,2015Q2,2642694.013
Nigeria,Total Unemployed,Male,Persons,2015Q3,3276672.353
Nigeria,Total Unemployed,Male,Persons,2015Q4,3502366.31
Nigeria,Total Unemployed,Male,Persons,2016Q1,4134737.213
Nigeria,Total Unemployed,Male,Persons,2016Q2,4693314.356
Nigeria,Total Unemployed,Male,Persons,2016Q3,4936503.419
Nigeria,Total Unemployed,Male,Persons,2016Q4,5086834.094
Nigeria,Total Unemployed,Male,Persons,2017Q1,5397998.452
Nigeria,Total Unemployed,Male,Persons,2017Q2,5927104.536
Nigeria,Total Unemployed,Male,Persons,2017Q3,7092112.316
Nigeria,Total Unemployed,Male,Persons,2017Q4,8414414.653
Nigeria,Total Unemployed,Male,Persons,2018Q1,9836162.982
Nigeria,Total Unemployed,Male,Persons,2018Q2,9874330.99
Nigeria,Total Unemployed,Male,Persons,2018Q3,10120801.18
Nigeria,Total Unemployed,Male,Persons,2010,1726755.083
Nigeria,Total Unemployed,Male,Persons,2011,2233684.606
Nigeria,Total Unemployed,Male,Persons,2012,3385570.519
Nigeria,Total Unemployed,Male,Persons,2013,3087652.566
Nigeria,Under Employement Rate,Male,%,2014Q1,14.67467737
Nigeria,Under Employement Rate,Male,%,2014Q2,14.85431178
Nigeria,Under Employement Rate,Male,%,2014Q3,12.92916084
Nigeria,Under Employement Rate,Male,%,2014Q4,14.98163386
Nigeria,Under Employement Rate,Male,%,2015Q1,13.91729328
Nigeria,Under Employement Rate,Male,%,2015Q2,15.3501152
Nigeria,Under Employement Rate,Male,%,2015Q3,14.58123758
Nigeria,Under Employement Rate,Male,%,2015Q4,15.6809881
Nigeria,Under Employement Rate,Male,%,2016Q1,16.22246631
Nigeria,Under Employement Rate,Male,%,2016Q2,16.3990414
Nigeria,Under Employement Rate,Male,%,2016Q3,16.74592858
Nigeria,Under Employement Rate,Male,%,2016Q4,17.87227529
Nigeria,Under Employement Rate,Male,%,2017Q1,17.74858224
Nigeria,Under Employement Rate,Male,%,2017Q2,20.419237
Nigeria,Under Employement Rate,Male,%,2017Q3,20.5427242
Nigeria,Under Employement Rate,Male,%,2017Q4,19.16705063
Nigeria,Under Employement Rate,Male,%,2018Q1,18.15505662
Nigeria,Under Employement Rate,Male,%,2018Q2,15.36909271
Nigeria,Under Employement Rate,Male,%,2018Q3,15.42440186
Nigeria,Under Employement Rate,Male,%,2010,15.01425797
Nigeria,Under Employement Rate,Male,%,2011,17.63314928
Nigeria,Under Employement Rate,Male,%,2012,15.65038262
Nigeria,Under Employement Rate,Male,%,2013,12.38381874
