country,indicator,group,Unit,Date,Value
Nigeria,Under Employement Rate,Male,%,2014Q1,14.67467737
Nigeria,Under Employement Rate,Male,%,2014Q2,14.85431178
Nigeria,Under Employement Rate,Male,%,2014Q3,12.92916084
Nigeria,Under Employement Rate,Male,%,2014Q4,14.98163386
Nigeria,Under Employement Rate,Male,%,2015Q1,13.91729328
Nigeria,Under Employement Rate,Male,%,2015Q2,15.3501152
Nigeria,Under Employement Rate,Male,%,2015Q3,14.58123758
Nigeria,Under Employement Rate,Male,%,2015Q4,15.6809881
Nigeria,Under Employement Rate,Male,%,2016Q1,16.22246631
Nigeria,Under Employement Rate,Male,%,2016Q2,16.3990414
Nigeria,Under Employement Rate,Male,%,2016Q3,16.74592858
Nigeria,Under Employement Rate,Male,%,2016Q4,17.87227529
Nigeria,Under Employement Rate,Male,%,2017Q1,17.74858224
Nigeria,Under Employement Rate,Male,%,2017Q2,20.419237
Nigeria,Under Employement Rate,Male,%,2017Q3,20.5427242
Nigeria,Under Employement Rate,Male,%,2017Q4,19.16705063
Nigeria,Under Employement Rate,Male,%,2018Q1,18.15505662
Nigeria,Under Employement Rate,Male,%,2018Q2,15.36909271
Nigeria,Under Employement Rate,Male,%,2018Q3,15.42440186
Nigeria,Under Employement Rate,Male,%,2010,15.01425797
Nigeria,Under Employement Rate,Male,%,2011,17.63314928
Nigeria,Under Employement Rate,Male,%,2012,15.65038262
Nigeria,Under Employement Rate,Male,%,2013,12.38381874
Nigeria,Under Employement Rate,Female,%,2014Q1,20.62042707
Nigeria,Under Employement Rate,Female,%,2014Q2,20.87284409
Nigeria,Under Employement Rate,Female,%,2014Q3,18.16767833
Nigeria,Under Employement Rate,Female,%,2014Q4,21.05175335
Nigeria,Under Employement Rate,Female,%,2015Q1,19.55617312
Nigeria,Under Employement Rate,Female,%,2015Q2,21.56953253
Nigeria,Under Employement Rate,Female,%,2015Q3,20.41841094
Nigeria,Under Employement Rate,Female,%,2015Q4,22.03446546
Nigeria,Under Employement Rate,Female,%,2016Q1,22.22116751
Nigeria,Under Employement Rate,Female,%,2016Q2,22.44404046
Nigeria,Under Employement Rate,Female,%,2016Q3,22.86402033
Nigeria,Under Employement Rate,Female,%,2016Q4,24.21736225
Nigeria,Under Employement Rate,Female,%,2017Q1,23.16788961
Nigeria,Under Employement Rate,Female,%,2017Q2,21.95830002
Nigeria,Under Employement Rate,Female,%,2017Q3,21.84877988
Nigeria,Under Employement Rate,Female,%,2017Q4,21.76630084
Nigeria,Under Employement Rate,Female,%,2018Q1,22.51347059
Nigeria,Under Employement Rate,Female,%,2018Q2,25.91230498
Nigeria,Under Employement Rate,Female,%,2018Q3,25.89701024
Nigeria,Under Employement Rate,Female,%,2010,18.05942235
Nigeria,Under Employement Rate,Female,%,2011,18.25655921
Nigeria,Under Employement Rate,Female,%,2012,17.91653271
Nigeria,Under Employement Rate,Female,%,2013,17.40137958
