Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/24/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.976000071,3.173000097,3.463000059,3.611999989,3.653000116,3.621000051,3.602999926,3.536000013,3.605999947,3.51699996,3.426000118,3.549999952,3.41899991,3.086999893,2.941999912,2.825000048,2.128000021,2.493999958,2.470000029,2.275000095,1.983999968,1.692000031,1.725000024,1.735000014,1.67900002,1.633999944,1.559000015,1.542000055
Angola,AGO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.60199928,20.92499924,21.25,21.1590004,21.14800072,20.06599998,21.46500015,20.43799973,20.89699936,22.88500023,23.11499977,23.89599991,23.92499924,23.64299965,20.53199959,17.67399979,14.63300037,12.04399967,10.60900021,9.088999748,7.361999989,7.359000206,7.453999996,7.428999901,7.278999805,7.281000137,7.138999939,7.252999783
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.78100014,17.65299988,17.68099976,17.52700043,17.60700035,18.3579998,18.31100082,18.32299995,18.56900024,17.7670002,17.4109993,17.51000023,17.49600029,17.27199936,16.87400055,16.3939991,15.9659996,13.06000042,13.67399979,14.08600044,13.48099995,13.3760004,15.86600018,17.48999977,17.07999992,15.22000027,13.75,13.89799976
Andorra,AND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.62469705,12.00524148,12.93117359,13.0921457,13.40627124,12.63850663,12.09916929,12.16102344,12.33077391,12.74993047,12.55037922,12.59159812,12.50740367,11.49354817,11.27080035,10.38299803,9.851812979,9.48183473,9.280123006,9.1985164,10.06643732,10.26379338,10.24914208,10.24761509,10.24829462,9.990830486,9.975418876,9.960055422
United Arab Emirates,ARE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.631999969,1.699000001,1.800999999,1.807000041,1.799999952,1.881000042,1.963999987,2.039000034,2.174999952,2.25,2.403000116,2.640000105,2.867000103,3.03399992,3.119999886,2.773000002,2.467000008,2.332999945,2.698999882,2.663000107,2.493999958,2.40899992,2.292000055,2.061000109,1.835999966,1.636000037,2.463000059,2.575000048
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.440000057,6.360000134,10.10000038,11.76000023,18.79999924,17.11000061,14.81999969,12.64999962,14.05000019,15,17.31999969,19.59000015,15.35999966,13.52200031,11.50599957,10.07699966,8.470000267,7.836999893,8.645000458,7.714000225,7.178999901,7.217000008,7.099999905,7.268000126,7.643000126,8.015999794,8.347000122,9.482999802
Armenia,ARM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.600000024,1.799999952,5.300000191,6.599999905,6.699999809,9.300000191,10.80000019,9.399999619,11.19999981,11.25300026,11.43900013,11.5170002,11.2329998,11.2159996,10.80000019,10.28100014,9.812000275,16.36800003,18.73999977,19.00799942,18.44300079,17.30999947,16.17900085,17.49799919,18.26099968,17.61700058,17.82699966,17.71199989
American Samoa,ASM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
